Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2018-12-01,0,9,0.091755203,8.26E-04
2018-12-01,1,9,0.091977128,8.28E-04
2018-12-01,2,8,0.091866654,7.35E-04
2018-12-01,3,9,0.090140346,8.11E-04
2018-12-01,4,9,0.085137452,7.66E-04
2018-12-01,5,9,0.081329134,7.32E-04
2018-12-01,6,10,0.081808664,8.18E-04
2018-12-01,7,9,0.087170902,7.85E-04
2018-12-01,8,9,0.0869366,7.82E-04
2018-12-01,9,9,0.084425661,7.60E-04
2018-12-01,10,8,0.084285229,6.74E-04
2018-12-01,11,9,0.083995393,7.56E-04
2018-12-01,12,8,0.154898938,0.001239191504
2018-12-01,13,9,0.157590698,0.001418316282
2018-12-01,14,8,0.156994841,0.001255958728
2018-12-01,15,9,0.152795908,0.001375163172
2018-12-01,16,8,0.152891018,0.001223128144
2018-12-01,17,8,0.155835195,0.00124668156
2018-12-01,18,9,0.159339414,0.001434054726
2018-12-01,19,8,0.158177717,0.001265421736
2018-12-01,20,8,0.15796054,0.00126368432
2018-12-01,21,8,0.159251813,0.001274014504
2018-12-01,22,9,0.088739128,7.99E-04
2018-12-01,23,9,0.085887439,7.73E-04
,,,,
2018-12-02,0,9,0.08255905,7.43E-04
2018-12-02,1,10,0.07451007,7.45E-04
2018-12-02,2,9,0.070012887,6.30E-04
2018-12-02,3,9,0.069664795,6.27E-04
2018-12-02,4,9,0.067612459,6.09E-04
2018-12-02,5,10,0.067610439,6.76E-04
2018-12-02,6,8,0.072500163,5.80E-04
2018-12-02,7,19,0.077884131,0.001479798489
2018-12-02,8,124,0.080659673,0.01000179945
2018-12-02,9,82,0.081956928,0.006720468096
2018-12-02,10,165,0.080970171,0.01336007822
2018-12-02,11,86,0.078613179,0.006760733394
2018-12-02,12,103,0.144816453,0.01491609466
2018-12-02,13,118,0.145490308,0.01716785634
2018-12-02,14,107,0.144231499,0.01543277039
2018-12-02,15,9,0.143515546,0.001291639914
2018-12-02,16,8,0.145083839,0.001160670712
2018-12-02,17,11,0.150517405,0.001655691455
2018-12-02,18,90,0.153909924,0.01385189316
2018-12-02,19,54,0.154167748,0.008325058392
2018-12-02,20,6,0.152566533,9.15E-04
2018-12-02,21,6,0.153510507,9.21E-04
2018-12-02,22,6,0.084391099,5.06E-04
2018-12-02,23,7,0.082224328,5.76E-04
,,,,
2018-12-03,0,82,0.067140264,0.005505501648
2018-12-03,1,55,0.06494502,0.0035719761
2018-12-03,2,17,0.063721879,0.001083271943
2018-12-03,3,92,0.063693144,0.005859769248
2018-12-03,4,60,0.063950202,0.00383701212
2018-12-03,5,8,0.065224054,5.22E-04
2018-12-03,6,95,0.071608563,0.006802813485
2018-12-03,7,63,0.082938069,0.005225098347
2018-12-03,8,7,0.080906308,5.66E-04
2018-12-03,9,89,0.082423917,0.007335728613
2018-12-03,10,70,0.082654386,0.00578580702
2018-12-03,11,7,0.082578576,5.78E-04
2018-12-03,12,82,0.149833464,0.01228634405
2018-12-03,13,81,0.150478827,0.01218878499
2018-12-03,14,8,0.148186093,0.001185488744
2018-12-03,15,65,0.149615579,0.009725012635
2018-12-03,16,101,0.151138922,0.01526503112
2018-12-03,17,27,0.152758381,0.004124476287
2018-12-03,18,64,0.154927907,0.009915386048
2018-12-03,19,142,0.153959129,0.02186219632
2018-12-03,20,28,0.154423741,0.004323864748
2018-12-03,21,49,0.154343989,0.007562855461
2018-12-03,22,142,0.085535707,0.01214607039
2018-12-03,23,7,0.084752544,5.93E-04
,,,,
2018-12-04,0,24,0.082483803,0.001979611272
2018-12-04,1,141,0.078324791,0.01104379553
2018-12-04,2,10,0.076868736,7.69E-04
2018-12-04,3,21,0.076902963,0.001614962223
2018-12-04,4,122,0.076950203,0.009387924766
2018-12-04,5,30,0.078622066,0.00235866198
2018-12-04,6,12,0.083692191,0.001004306292
2018-12-04,7,103,0.08919291,0.00918686973
2018-12-04,8,52,0.087739849,0.004562472148
2018-12-04,9,7,0.087207576,6.10E-04
2018-12-04,10,100,0.085964955,0.0085964955
2018-12-04,11,91,0.085735831,0.007801960621
2018-12-04,12,8,0.15133629,0.00121069032
