Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2019-02-01,0,96,0.063499513,0.006095953248
2019-02-01,1,73,0.062447966,0.004558701518
2019-02-01,2,63,0.059189203,0.003728919789
2019-02-01,3,62,0.057250655,0.00354954061
2019-02-01,4,59,0.057819716,0.003411363244
2019-02-01,5,59,0.060889775,0.003592496725
2019-02-01,6,59,0.063672936,0.003756703224
2019-02-01,7,50,0.071321014,0.0035660507
2019-02-01,8,45,0.07622113,0.00342995085
2019-02-01,9,346,0.076844273,0.02658811846
2019-02-01,10,162,0.075706534,0.01226445851
2019-02-01,11,426,0.073972622,0.03151233697
2019-02-01,12,51,0.140142825,0.007147284075
2019-02-01,13,435,0.137963274,0.06001402419
2019-02-01,14,392,0.131816233,0.05167196334
2019-02-01,15,441,0.130954952,0.05775113383
2019-02-01,16,516,0.132281055,0.06825702438
2019-02-01,17,593,0.134847736,0.07996470745
2019-02-01,18,100,0.141713224,0.0141713224
2019-02-01,19,149,0.145925517,0.02174290203
2019-02-01,20,587,0.147060159,0.08632431333
2019-02-01,21,1413,0.141607418,0.2000912816
2019-02-01,22,906,0.070991505,0.06431830353
2019-02-01,23,788,0.065801504,0.05185158515
,,,,
2019-02-02,0,141,0.059564849,0.008398643709
2019-02-02,1,160,0.054678345,0.0087485352
2019-02-02,2,103,0.045392298,0.004675406694
2019-02-02,3,100,0.040354136,0.0040354136
2019-02-02,4,128,0.039903761,0.005107681408
2019-02-02,5,128,0.03484078,0.00445961984
2019-02-02,6,122,0.040204677,0.004904970594
2019-02-02,7,113,0.047288979,0.005343654627
2019-02-02,8,96,0.054513773,0.005233322208
2019-02-02,9,721,0.058418737,0.04211990938
2019-02-02,10,778,0.060286723,0.04690307049
2019-02-02,11,719,0.057345023,0.04123107154
2019-02-02,12,238,0.12228698,0.02910430124
2019-02-02,13,187,0.12117938,0.02266054406
2019-02-02,14,139,0.118232661,0.01643433988
2019-02-02,15,563,0.112099294,0.06311190252
2019-02-02,16,228,0.112337126,0.02561286473
2019-02-02,17,119,0.122752972,0.01460760367
2019-02-02,18,97,0.133481085,0.01294766525
2019-02-02,19,123,0.137151099,0.01686958518
2019-02-02,20,128,0.135214166,0.01730741325
2019-02-02,21,125,0.13281324,0.016601655
2019-02-02,22,99,0.065779417,0.006512162283
2019-02-02,23,99,0.063851843,0.006321332457
,,,,
2019-02-03,0,234,0.065115136,0.01523694182
2019-02-03,1,101,0.059557792,0.006015336992
2019-02-03,2,99,0.058915271,0.005832611829
2019-02-03,3,95,0.057918477,0.005502255315
2019-02-03,4,93,0.057958062,0.005390099766
2019-02-03,5,91,0.057620024,0.005243422184
2019-02-03,6,56,0.058685096,0.003286365376
2019-02-03,7,66,0.059909857,0.003954050562
2019-02-03,8,140,0.061893978,0.00866515692
2019-02-03,9,334,0.064932412,0.02168742561
2019-02-03,10,493,0.067324695,0.03319107464
2019-02-03,11,30,0.068407342,0.00205222026
2019-02-03,12,83,0.135424534,0.01124023632
2019-02-03,13,104,0.131423894,0.01366808498
2019-02-03,14,106,0.12919493,0.01369466258
2019-02-03,15,122,0.128888592,0.01572440822
2019-02-03,16,104,0.130537945,0.01357594628
2019-02-03,17,93,0.137369548,0.01277536796
2019-02-03,18,122,0.146803097,0.01790997783
2019-02-03,19,119,0.151484027,0.01802659921
2019-02-03,20,120,0.150976022,0.01811712264
2019-02-03,21,582,0.150526136,0.08760621115
2019-02-03,22,1513,0.078037896,0.1180713366
2019-02-03,23,585,0.067371276,0.03941219646
,,,,
2019-02-04,0,57,0.066022863,0.003763303191
2019-02-04,1,50,0.062962411,0.00314812055
2019-02-04,2,49,0.057936776,0.002838902024
2019-02-04,3,42,0.055818454,0.002344375068
2019-02-04,4,43,0.054692875,0.002351793625
2019-02-04,5,42,0.06082369,0.00255459498
2019-02-04,6,43,0.065849498,0.002831528414
2019-02-04,7,51,0.081520908,0.004157566308
2019-02-04,8,48,0.08004166,0.00384199968
2019-02-04,9,320,0.081960741,0.02622743712
2019-02-04,10,428,0.081545965,0.03490167302
2019-02-04,11,591,0.080029169,0.04729723888
2019-02-04,12,42,0.145829616,0.006124843872
2019-02-04,13,40,0.145594636,0.00582378544
2019-02-04,14,40,0.143995451,0.00575981804
2019-02-04,15,63,0.143298045,0.009027776835
